name,urls,first
Seurat,https://github.com/satijalab/seurat|https://satijalab.org/seurat/,https://github.com/satijalab/seurat
STAR,https://STAR.readthedocs.io/en/latest/|https://github.com/alexdobin/STAR|https://github.com/alexdobin/STAR/blob/master/doc/STARmanual.pdf,https://STAR.readthedocs.io/en/latest/
Monocle,https://github.com/cole-trapnell-lab/monocle-release|http://cole-trapnell-lab.github.io/monocle-release/|https://cole-trapnell-lab.github.io/monocle3/,https://github.com/cole-trapnell-lab/monocle-release
salmon,https://salmon.readthedocs.io/en/latest/|https://github.com/COMBINE-lab/salmon|https://combine-lab.github.io/salmon/,http://salmon.readthedocs.io/en/latest/
kallisto,https://kallisto.readthedocs.io/en/latest/|https://github.com/pachterlab/kallisto|https://pachterlab.github.io/kallisto/,https://kallisto.readthedocs.io/en/latest/
Scanpy,https://scanpy.readthedocs.io/en/stable/|https://github.com/theislab/scanpy,https://scanpy.readthedocs.io/en/stable/
Harmony,https://github.com/immunogenomics/harmony|https://portals.broadinstitute.org/harmony/,https://github.com/immunogenomics/harmony
CellRanger,https://github.com/10XGenomics/cellranger|https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger,https://github.com/10XGenomics/cellranger
SCENIC,https://github.com/aertslab/SCENIC|https://resources.aertslab.org/cistarget/|https://scenic.aertslab.org/,https://github.com/aertslab/SCENIC
AUCell,https://bioconductor.org/packages/release/bioc/html/AUCell.html|https://github.com/aertslab/AUCell,https://bioconductor.org/packages/release/bioc/html/AUCell.html
CellPhoneDB,https://cellphonedb.readthedocs.io/en/latest/|https://github.com/Teichlab/cellphonedb|https://docs.hpc.sjtu.edu.cn/app/bioinformatics/cellphonedb.html,https://cellphonedb.readthedocs.io/en/latest/
CellChat,https://github.com/jinworks/CellChat|https://github.com/sqjin/CellChat|https://github.com/sqjin/CellChat/wiki,https://github.com/jinworks/CellChat
inferCNV,https://github.com/broadinstitute/inferCNV,https://github.com/broadinstitute/inferCNV
velocyto,https://github.com/velocyto-team/velocyto.R|http://velocyto.org/,https://github.com/velocyto-team/velocyto.R
scvi-tools,https://scvi-tools.readthedocs.io/en/latest/|https://github.com/YosefLab/scvi-tools|https://docs.scvi-tools.org/en/stable/,https://scvi-tools.readthedocs.io/en/latest/
SingleR,https://bioconductor.org/packages/release/bioc/html/SingleR.html|https://github.com/dviraran/SingleR,https://bioconductor.org/packages/release/bioc/html/SingleR.html
scran,https://bioconductor.org/packages/release/bioc/html/scran.html|https://github.com/MarioniLab/scran,https://bioconductor.org/packages/release/bioc/html/scran.html
BackSPIN,https://github.com/linnarsson-lab/BackSPIN,https://github.com/linnarsson-lab/BackSPIN
DoubletFinder,https://github.com/chris-mcginnis-ucsf/DoubletFinder,https://github.com/chris-mcginnis-ucsf/DoubletFinder
MAST,https://bioconductor.org/packages/release/bioc/html/MAST.html|https://github.com/RGLab/MAST,https://bioconductor.org/packages/release/bioc/html/MAST.html
Rsubread,https://bioconductor.org/packages/release/bioc/html/Rsubread.html|,https://bioconductor.org/packages/release/bioc/html/Rsubread.html
slingshot,https://slingshot.readthedocs.io/en/latest/|https://bioconductor.org/packages/release/bioc/html/slingshot.html|https://github.com/kstreet13/slingshot,https://slingshot.readthedocs.io/en/latest/
scVelo,https://scvelo.readthedocs.io/|https://github.com/theislab/scvelo,https://scvelo.readthedocs.io/
batchelor,https://bioconductor.org/packages/release/bioc/html/batchelor.html|https://github.com/LTLA/batchelor,https://bioconductor.org/packages/release/bioc/html/batchelor.html
Scrublet,https://github.com/AllonKleinLab/scrublet,https://github.com/AllonKleinLab/scrublet
RaceID,https://github.com/dgrun/RaceID3_StemID2_package,https://github.com/dgrun/RaceID3_StemID2_package
MiXCR,https://github.com/milaboratory/mixcr,https://github.com/milaboratory/mixcr
UMI-tools,https://umi-tools.readthedocs.io/en/latest/|https://github.com/CGATOxford/UMI-tools,https://umi-tools.readthedocs.io/en/latest/
SCDE,https://github.com/hms-dbmi/scde,https://github.com/hms-dbmi/scde
Scater,https://bioconductor.org/packages/release/bioc/html/scater.html|https://github.com/Alanocallaghan/scater,https://bioconductor.org/packages/release/bioc/html/scater.html
scuttle,https://bioconductor.org/packages/release/bioc/html/scuttle.html|https://github.com/LTLA/scuttle,https://bioconductor.org/packages/release/bioc/html/scuttle.html
MAGIC,https://MAGIC.readthedocs.io/en/latest/|https://github.com/KrishnaswamyLab/MAGIC,https://MAGIC.readthedocs.io/en/latest/
MIMOSCA,https://github.com/asncd/MIMOSCA,https://github.com/asncd/MIMOSCA
MOFA,https://MOFA.readthedocs.io/en/latest/|https://github.com/bioFAM/MOFA,https://MOFA.readthedocs.io/en/latest/
dynverse,https://github.com/dynverse/dynverse|https://dynverse.org/,https://github.com/dynverse/dynverse
SC3,https://SC3.readthedocs.io/en/latest/|https://bioconductor.org/packages/release/bioc/html/SC3.html|https://github.com/hemberg-lab/sc3,https://SC3.readthedocs.io/en/latest/
nichenetr,https://github.com/saeyslab/nichenetr,https://github.com/saeyslab/nichenetr
bseqsc,https://github.com/shenorrLab/bseqsc,https://github.com/shenorrLab/bseqsc
LIGER,https://github.com/welch-lab/liger|https://github.com/MacoskoLab/LIGER,https://github.com/welch-lab/liger
DPT,http://www.helmholtz-muenchen.de/icb/research/groups/machine-learning/projects/dpt/index.html,http://www.helmholtz-muenchen.de/icb/research/groups/machine-learning/projects/dpt/index.html
scLVM,https://github.com/PMBio/scLVM,https://github.com/PMBio/scLVM
DropletUtils,https://bioconductor.org/packages/release/bioc/html/DropletUtils.html|https://github.com/MarioniLab/DropletUtils,https://bioconductor.org/packages/release/bioc/html/DropletUtils.html
SoupX,https://github.com/constantAmateur/SoupX,https://github.com/constantAmateur/SoupX
SPADE,https://SPADE.readthedocs.io/en/latest/|https://github.com/nolanlab/spade,https://SPADE.readthedocs.io/en/latest/
scMCA,https://github.com/ggjlab/scMCA,https://github.com/ggjlab/scMCA
demuxlet,https://github.com/statgen/demuxlet,https://github.com/statgen/demuxlet
RCA,https://github.com/GIS-SP-Group/RCA,https://github.com/GIS-SP-Group/RCA
ZINB-WaVE,https://github.com/drisso/zinbwave,https://github.com/drisso/zinbwave
scIB,https://scib.readthedocs.io/en/latest/|https://github.com/theislab/scib,https://scib.readthedocs.io/en/latest/
DCA,https://DCA.readthedocs.io/en/latest/|https://github.com/theislab/dca,https://DCA.readthedocs.io/en/latest/
PHATE,https://phate.readthedocs.io/en/latest/|https://phate.readthedocs.io/en/stable/|https://github.com/KrishnaswamyLab/PHATE,https://phate.readthedocs.io/en/latest/
STEMNET,https://git.embl.de/velten/STEMNET,https://git.embl.de/velten/STEMNET
SIMLR,https://bioconductor.org/packages/release/bioc/html/SIMLR.html|https://github.com/BatzoglouLabSU/SIMLR,https://bioconductor.org/packages/release/bioc/html/SIMLR.html
Splatter,https://bioconductor.org/packages/release/bioc/html/splatter.html|https://github.com/Oshlack/splatter,https://bioconductor.org/packages/release/bioc/html/splatter.html
URD,https://github.com/farrellja/URD,https://github.com/farrellja/URD
scumi,https://bitbucket.org/jerry00/scumi-dev,https://bitbucket.org/jerry00/scumi-dev
scanorama,https://github.com/brianhie/scanorama,https://github.com/brianhie/scanorama
