Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
Seurat,R,"10.1016/j.cell.2019.05.031, 10.1016/j.cell.2021.04.048, 10.1038/nbt.3192, 10.1038/nbt.4096, 10.1038/s41587-023-01767-y, 10.1101/164889, 10.1101/2020.10.12.335331, 10.1101/2022.02.24.481684, 10.1101/460147, 10.1101/576827, 10.1186/s13059-019-1874-1","2019-06, 2021-06, 2015-04-13, 2018-04-02, 2023-05-25, NA, NA, NA, NA, NA, 2019-12-23",40285,https://github.com/satijalab/seurat,"It contains easy-to-use implementations of commonly used analytical techniques, including the identification of highly variable genes, dimensionality reduction (PCA, ICA, t-SNE), standard unsupervised clustering algorithms (density clustering, hierarchical clustering, k-means), and the discovery of differentially expressed genes and markers.",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Integration, Marker Genes, Normalisation, Variable Genes, Visualisation"
STAR,C/C++,"10.1093/bioinformatics/bts635, 10.1101/2021.05.05.442755","2012-10-25, NA",39332,https://github.com/alexdobin/STAR,"STARsolo: mapping, demultiplexing and gene quantification for single cell RNA-seq",MIT,"Alignment, Quantification, UMIs"
Monocle,R,"10.1038/nbt.2859, 10.1038/nmeth.4150, 10.1038/nmeth.4402, 10.1101/110668","2014-03-23, 2017-01-23, 2017-08-21, NA",9954,https://github.com/cole-trapnell-lab/monocle-release,"Differential expression and time-series analysis for single-cell RNA-Seq.",Artistic-2.0,"Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Marker Genes, Ordering, Visualisation"
salmon,C++,"10.1038/nmeth.4197, 10.1093/bioinformatics/btaa450, 10.1101/021592, 10.1101/2020.04.10.035899, 10.1101/335000, 10.1186/s13059-019-1670-y","2017-03-06, 2020-07-13, NA, NA, NA, 2019-03-27",9109,https://github.com/COMBINE-lab/salmon,"Salmon produces transcript-level quantification estimates for RNA-seq data. It includes the Alevin pipeline for quantifying droplet scRNA-seq.",GPL-3.0,"Quantification, UMIs"
kallisto,C/C++,"10.1038/nbt.3519, 10.1038/s41587-021-00870-2, 10.1038/s41592-018-0303-9, 10.1101/2022.12.02.518832, 10.1101/2023.11.21.568164, 10.1101/258566, 10.1101/673285, arxiv/1505.02710","2016-04-04, 2021-04-01, 2019-01-21, NA, NA, NA, NA, NA",8481,https://github.com/pachterlab/kallisto,"kallisto produces transcript-level quantification estimates for RNA-seq data. It can produce transript compatibility count estimates for scRNA-seq data.",BSD-2-Clause,"Quantification, UMIs"
Scanpy,Python,"10.1101/174029, 10.1101/208819, 10.1186/s13059-017-1382-0, 10.1186/s13059-019-1663-x","NA, NA, 2018-02-06, 2019-03-19",6411,https://github.com/theislab/scanpy,"Scanpy is a scalable toolkit for analyzing single-cell gene expression data.",BSD-3-Clause,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Normalisation, Ordering, Quality Control, Simulation, Variable Genes, Visualisation"
Harmony,R/C++,"10.1038/s41592-019-0619-0, 10.1101/461954","2019-11-18, NA",5334,https://github.com/immunogenomics/harmony,"Algorithm that projects cells into a shared embedding in which cells group by cell type rather than dataset-specific conditions.",GPL-3.0,"Dimensionality Reduction, Integration"
CellRanger,Python/R,"10.1038/ncomms14049, 10.1101/065912","2017-01-16, NA",5184,https://github.com/10XGenomics/cellranger,"Cell Ranger is a set of analysis pipelines that process Chromium single cell 3’ RNA-seq output to align reads, generate gene-cell matrices and perform clustering and gene expression analysis.",'-,"Alignment, Clustering, Differential Expression, Dimensionality Reduction, Interactive, Marker Genes, Quality Control, Quantification, UMIs, Visualisation"
SCENIC,R/Python,"10.1038/nmeth.4463, 10.1038/s41596-020-0336-2, 10.1101/144501","2017-10-09, 2020-06-19, NA",4730,https://github.com/aertslab/SCENIC,"SCENIC is a tool to infer Gene Regulatory Networks and cell types from single-cell RNA-seq data.",GPL-3.0,"Clustering, Gene Networks, Visualisation"
AUCell,R,"10.1038/nmeth.4463, 10.1101/144501","2017-10-09, NA",3978,https://github.com/aertslab/AUCell,"AUCell is an R-package to analyze the state of gene-sets in single-cell RNA-seq data (i.e. identify cells with active gene signatures).",Custom,"Gene Networks, Interactive, Visualisation"
CellPhoneDB,Python,"10.1038/s41586-018-0698-6, 10.1038/s41596-020-0292-x, 10.1101/429589, 10.1101/680926, arxiv/2311.04567","2018-11-14, 2020-02-26, NA, NA, NA",3962,https://github.com/Teichlab/cellphonedb,"CellPhoneDB is a publicly available repository of curated receptors, ligands and interactions.",MIT,"Gene Networks, Visualisation"
